新聞,#genre#
三立台湾,http://103.147.236.18:7774/play/a00g/index.m3u8
重温经典,
http://ali.hlspull.yximgs.com/live/awei_cwjd.flv
8 world,http://64.181.247.193:50008/video?id=RvSOIM620bA
鳳凰衛視資訊台,http://64.181.247.193:50008/video?id=HFib76ySpbU&pp=ygUM6bOz5Yew6KGb6KaW
鳳凰衛視資訊台,http://64.181.247.193:50008/video?id=HFib76ySpbU
cctv4,http://64.181.247.193:50008/video?id=SdzewdkJa-o
中天新聞,http://64.181.247.193:50008/video?id=vr3XyVCR4T0
中天深喉嚨,http://64.181.247.193:50008/video?id=DM_PEM8GrIg
中天亞洲,http://64.181.247.193:50008/video?id=R2ci13O5Mt0
環宇財經,http://64.181.247.193:50008/video?id=WTRQiVWK1jY
台視,http://64.181.247.193:50008/video?id=uDqQo8a7Xmk
台視新聞 TTV NEWS,http://64.181.247.193:50008/video?id=xL0ch83RAK8&pp=ygUM5Y-w6KaW5paw6IGe
大愛電視,http://64.181.247.193:50008/video?id=DTNkEm6jaqQ
大愛電視 Tzu Chi DaAiVideo,http://64.181.247.193:50008/video?id=oV_i3Hsl_zg
中視新聞 HD直播頻道｜Taiwan CTV news HD Live,http://64.181.247.193:50008/video?id=TCnaIE_SAtM
華視新聞 CH52,http://64.181.247.193:50008/video?id=wM0g8EoUZ_E&pp=ygUS6I-v6KaW5aWn6YGL55u05pKt
TTV LIVE 台視直播,http://64.181.247.193:50008/video?id=uDqQo8a7Xmk
大愛電視 Tzu Chi DaAiVideo,http://64.181.247.193:50008/video?id=MIqUplvSRWA
大愛電視台1台台灣,http://64.181.247.193:50008/video?id=oV_i3Hsl_zg&pp=ygUP5aSn5oSb6Zu76KaW5Y-w
大愛電視台2台台灣,http://64.181.247.193:50008/video?id=OKvWtVoDR8I&pp=ygUP5aSn5oSb6Zu76KaW5Y-w
大愛電視台1台全球,http://64.181.247.193:50008/video?id=MIqUplvSRWA&pp=ygUP5aSn5oSb6Zu76KaW5Y-w
大愛電視台2台全球,http://64.181.247.193:50008/video?id=DTNkEm6jaqQ&pp=ygUP5aSn5oSb6Zu76KaW5Y-w
鏡新聞,http://64.181.247.193:50008/video?id=5n0y6b0Q25o
大愛電視 Tzu Chi DaAiVideo,http://64.181.247.193:50008/video?id=OKvWtVoDR8I
公視,http://64.181.247.193:50008/video?id=C6gYqSHLRw4&pp=ygUG5YWs6KaW
公視台語台,http://64.181.247.193:50008/video?id=6KlRR_DGhmI
小公視,http://64.181.247.193:50008/video?id=https://livecdn9.ptsplus.tv/pts-youth-A/1.m3u8
小公視,http://64.181.247.193:50008/video?id=https://livecdn9.ptsplus.tv/pts-youth-A/6000k.m3u8
57東森財經新聞,http://64.181.247.193:50008/video?id=1I2iq41Akmo
東森新聞51,http://64.181.247.193:50008/video?id=V1p33hqPrUk&pp=ygUM5Lic5qOu5paw6Ze7
東森新聞海外,http://64.181.247.193:50008/video?id=S5WOGu2HSes
寰宇新聞頻道,http://64.181.247.193:50008/video?id=6IquAgfvYmc
寰宇新聞頻道,http://64.181.247.193:50008/video?id=w87VGpgd90U

寰宇財經新聞,http://64.181.247.193:50008/video?id=WTRQiVWK1jY
寰宇新聞台灣台,http://64.181.247.193:50008/video?id=w87VGpgd90U
海外直播 三立新聞 24小時LIVE,http://64.181.247.193:50008/video?id=https://www.youtube.com/live/hGJkDZDchYI
三立新聞海外,http://64.181.247.193:50008/video?id=FoBfXvlOR6I
三立iNEWS,http://64.181.247.193:50008/video?id=pF507BLtbqU
三立iNEWS,http://64.181.247.193:50008/video?id=oZdzzvxTfUY&pp=ygUP5LiJ56uL5paw6IGe5Y-w
三立新聞台灣版,http://64.181.247.193:50008/video?id=MV9mI0GChwo
民視新聞網 Formosa TV News network,http://64.181.247.193:50008/video?id=ylYJSBUgaMA
新唐人亞太電視台NTDAPTV,http://64.181.247.193:50008/video?id=WIhgU_mc05A
57東森財經新聞,http://64.181.247.193:50008/video?id=WHEPzbFA3hw

國會頻道,http://64.181.247.193:50008/video?id=4HysYHJ6GkY
三立LIVE新聞,http://64.181.247.193:50008/video?id=oZdzzvxTfUY
TVBS NEWS,http://64.181.247.193:50008/video?id=m_dhMSvUCIc
TVB新聞海外,http://64.181.247.193:50008/video?id=2mCSYvcfhtc
TVBS海外,http://64.181.247.193:50008/video?id=hP6_jfCFxyQ
公視新聞網,http://64.181.247.193:50008/video?id=quwqlazU-c8
寰宇新聞頻道,http://64.181.247.193:50008/video?id=6IquAgfvYmc
國會頻道,http://64.181.247.193:50008/video?id=Lj8OWF6nzcg
國會頻道,http://64.181.247.193:50008/video?id=IvAXtzx5cUI
國會頻道,http://64.181.247.193:50008/video?id=Af0TFVbxvAQ
國會頻道,http://64.181.247.193:50008/video?id=Qo9QwuCpV3s
國會頻道,http://64.181.247.193:50008/video?id=yUx5lB4mhZk
國會頻道,http://64.181.247.193:50008/video?id=tDg3bJFYLzI


東森新聞 CH51,http://64.181.247.193:50008/video?id=V1p33hqPrUk
中文連續劇,#genre#
人生清洁员,http://64.181.247.193:50008/video?id=https://livecdn9.ptsplus.tv/pts-FastTV-A/1.m3u8
緬懷瓊瑤女士,http://64.181.247.193:50008/video?id=vdGQsHqYvlo
包青天 LIVE,http://64.181.247.193:50008/video?id=ZB3VOEZE3zo
我的老師叫小賀‧,http://64.181.247.193:50008/video?id=6CQZxYpW9q4
藍色水玲瓏,http://64.181.247.193:50008/video?id=rTcTVZBZtYs
廉政英雄,http://64.181.247.193:50008/video?id=b35xJXmJ-8I
新兵日記,http://64.181.247.193:50008/video?id=032kEdR9Lic
微笑PASTA,http://64.181.247.193:50008/video?id=F1jOmtdW1wA
王子變青蛙,http://64.181.247.193:50008/video?id=zd0g55J4v1g
三國,http://64.181.247.193:50008/video?id=H5CZX_YltSw
朱元璋,http://64.181.247.193:50008/video?id=pbvUvfJ9lWk
步步驚心,http://64.181.247.193:50008/video?id=nG73CyRTZpo
惡作劇之吻,http://64.181.247.193:50008/video?id=-aDlLRZvmus
知否知否應是綠肥紅瘦,http://64.181.247.193:50008/video?id=hcxLMIfxi0A
八零九零,http://64.181.247.193:50008/video?id=7vS7ChCdh6s
去有風的地方,http://64.181.247.193:50008/video?id=RfG8nrYdfeo
謝謝你醫生,http://64.181.247.193:50008/video?id=jUZ4_yK0dI8
神鵰俠侶,http://64.181.247.193:50008/video?id=Vu_eDZF3PXU
光芒,http://64.181.247.193:50008/video?id=Ul9z5eUphFY
 馭鮫記,http://64.181.247.193:50008/video?id=yh3ZLBl7kt0
長歌行,http://64.181.247.193:50008/video?id=I7yYOp7Tqdw
臨時直播,#genre#
我的老師叫小賀,http://64.181.247.193:50008/video?id=6CQZxYpW9q4
藍色水玲瓏,http://64.181.247.193:50008/video?id=rTcTVZBZtYs
廉政英雄,http://64.181.247.193:50008/video?id=b35xJXmJ-8I
新兵日記,http://64.181.247.193:50008/video?id=032kEdR9Lic
中視經典綜藝,http://64.181.247.193:50008/video?id=ADDSmXoPDY8
Radio Hits Music,http://64.181.247.193:50008/video?id=uNd5kvrGHjk
愛爾達綜合台,http://64.181.247.193:50008/video?id=Ul9z5eUphFY
愛爾達綜合台,http://64.181.247.193:50008/video?id=I7yYOp7Tqdw
愛爾達綜合台,http://64.181.247.193:50008/video?id=yh3ZLBl7kt0
愛爾達綜合台,http://64.181.247.193:50008/video?id=iOxw4bgNxa4
愛爾達綜合台,http://64.181.247.193:50008/video?id=6st08Em5RbM
Explore Bears & Bison,http://64.181.247.193:50008/video?id=3szkFHfr6sA
台灣地震監視,http://64.181.247.193:50008/video?id=Owke6Quk7T0
